event_id,mag,lat,lon,dist,pga,mmi,mmi_roman
eq2,4.9,13.651,100.496,201.58,0.000307055058563803,4.0,IV
eq2,4.9,13.685,100.535,202.14,0.000307055058563803,4.0,IV
eq2,4.9,13.692,100.67,212.69,0.000257700318710244,4.0,IV
eq2,4.9,16.494,100.5,229.3,0.000200258778853584,4.0,IV
eq21,4.0,9.966,98.641,15.52,0.007824744670390831,4.0,IV
eq21,4.0,9.992,98.651,18.63,0.005936484864244527,3.0,III
eq23,4.0,7.968,98.583,11.02,0.0143651340689388,2.0,II
eq23,4.0,7.885,98.427,15.85,0.00823580494703231,4.0,IV
eq23,4.0,7.881,98.405,18.22,0.006824023219001791,4.0,IV
eq23,4.0,7.883,98.39,19.83,0.005741574916710009,4.0,IV
eq23,4.0,7.91,98.394,19.95,0.005741574916710009,4.0,IV
eq23,4.0,7.893,98.388,20.17,0.005741574916710009,3.0,III
eq23,4.0,7.904,98.388,20.35,0.005741574916710009,4.0,IV
eq23,4.0,7.921,98.386,21.07,0.005293349690746489,3.0,III
eq23,4.0,7.894,98.353,24.06,0.004221896496082709,4.0,IV
eq23,4.0,8.023,98.401,25.17,0.003936033933605445,4.0,IV
eq23,4.0,8.007,98.349,28.65,0.003040664514552676,4.0,IV
eq23,4.0,8.181,98.299,45.67,0.00133192634877085,4.0,IV
eq24,4.0,18.656,98.682,11.44,0.0216369829762275,2.0,II
eq24,4.0,18.674,98.673,11.45,0.0216369829762275,2.0,II
eq24,4.0,18.469,98.611,17.06,0.0112684257299789,7.0,VII
eq25,4.0,19.567,99.581,0.74,0.122663137992769,3.0,III
eq25,4.0,19.567,99.581,0.74,0.1226631379927694,3.0,III
eq25,4.0,19.494,99.567,7.5,0.02957876105125259,4.0,IV
eq25,4.0,19.544,99.688,11.45,0.01953102106537367,4.0,IV
eq25,4.0,19.506,99.742,18.03,0.009278029749065156,2.0,II
eq25,4.0,19.729,99.594,18.85,0.008495334959248592,2.0,II
eq25,4.0,19.609,99.781,21.78,0.006655525028316079,3.0,III
eq25,4.0,19.338,99.506,25.81,0.005000977168354707,4.0,IV
eq25,4.0,19.719,99.347,30.11,0.003895060479798801,3.0,III
eq25,4.0,19.807,99.716,30.94,0.00367629643730084,4.0,IV
eq25,4.0,19.692,99.858,32.61,0.003291065921620007,2.0,II
